Number;neighbourhood_group;neighbourhood;latitude;longitude
45;Sants-Montjuic;Hostafrancs;41.375096978469884;2.1463428263330684
45;Sants-Montjuic;Hostafrancs;41.374314653575546;2.1456561309356244
45;Sants-Montjuic;Hostafrancs;41.37434072135895;2.1470810157120654
45;Sants-Montjuic;Hostafrancs;41.37485382798842;2.1463145771319527
45;Sants-Montjuic;Hostafrancs;41.37495152717758;2.1470582721446965
45;Sants-Montjuic;Hostafrancs;41.37270830296208;2.143714050537101
45;Sants-Montjuic;Hostafrancs;41.3729731098427;2.1449307611616315
45;Sants-Montjuic;Hostafrancs;41.3723355035585;2.1454625130950506
45;Sants-Montjuic;Hostafrancs;41.374583715329244;2.145000075748506
45;Sants-Montjuic;Hostafrancs;41.37447286092816;2.1465007873048596
45;Sants-Montjuic;Hostafrancs;41.37274058368729;2.143656707073865
45;Sants-Montjuic;Hostafrancs;41.37437698175344;2.142851319169611
45;Sants-Montjuic;Hostafrancs;41.37794534861976;2.143989676459738
45;Sants-Montjuic;Hostafrancs;41.375296795433314;2.141341527799666
45;Sants-Montjuic;Hostafrancs;41.37126449479075;2.1437236274544906
45;Sants-Montjuic;Hostafrancs;41.37792935634076;2.143820027751126
45;Sants-Montjuic;Hostafrancs;41.37198547899429;2.144467749132873
45;Sants-Montjuic;Hostafrancs;41.376214115010825;2.1449848043080397
45;Sants-Montjuic;Hostafrancs;41.37440913903278;2.1422392070027025
45;Sants-Montjuic;Hostafrancs;41.37318028688592;2.142843005587895
45;Sants-Montjuic;Hostafrancs;41.37455126262697;2.141078450810592
45;Sants-Montjuic;Hostafrancs;41.37332773465072;2.142564246415495
45;Sants-Montjuic;Hostafrancs;41.37238148008409;2.142921889594234
45;Sants-Montjuic;Hostafrancs;41.374580068691095;2.14343700300671
45;Sants-Montjuic;Hostafrancs;41.37432060632595;2.146434796787612
45;Sants-Montjuic;Hostafrancs;41.37275639390901;2.142879249040332
45;Sants-Montjuic;Hostafrancs;41.376022595624285;2.1446854281990606
45;Sants-Montjuic;Hostafrancs;41.377377742413344;2.1448026839441052
45;Sants-Montjuic;Hostafrancs;41.37627251972468;2.1438411012145893
45;Sants-Montjuic;Hostafrancs;41.376928077610955;2.143974685788749
45;Sants-Montjuic;Hostafrancs;41.37372434344014;2.142771763447674
45;Sants-Montjuic;Hostafrancs;41.377599130706024;2.142544872799644
45;Sants-Montjuic;Hostafrancs;41.37399353232253;2.142935187826545
45;Sants-Montjuic;Hostafrancs;41.37617830016744;2.1425718530248177
45;Sants-Montjuic;Hostafrancs;41.37542618674434;2.1435449451586863
45;Sants-Montjuic;Hostafrancs;41.370981017235685;2.142538059830601
45;Sants-Montjuic;Hostafrancs;41.374545466547865;2.1464807352974504
45;Sants-Montjuic;Hostafrancs;41.378028684723205;2.1420137587672388
45;Sants-Montjuic;Hostafrancs;41.37563712467421;2.1461844950530287
45;Sants-Montjuic;Hostafrancs;41.3762035467832;2.1466138895987568
45;Sants-Montjuic;Hostafrancs;41.373919508340805;2.1470798868333896
45;Sants-Montjuic;Hostafrancs;41.37634186327032;2.1442464006527575
45;Sants-Montjuic;Hostafrancs;41.376486390088104;2.1472923774874437
45;Sants-Montjuic;Hostafrancs;41.375462092980875;2.142501321681549
45;Sants-Montjuic;Hostafrancs;41.37433396020911;2.1450322462895204
45;Sants-Montjuic;Hostafrancs;41.372276233251796;2.14360691423654
45;Sants-Montjuic;Hostafrancs;41.37445346617232;2.1448600037064733
45;Sants-Montjuic;Hostafrancs;41.37373414973727;2.1417422157019486
45;Sants-Montjuic;Hostafrancs;41.3743848873134;2.1470406535074233
45;Sants-Montjuic;Hostafrancs;41.37377135118163;2.1431221786114647
45;Sants-Montjuic;Hostafrancs;41.3750200911616;2.1445364695897733
45;Sants-Montjuic;Hostafrancs;41.37571145425997;2.1480778579270647
45;Sants-Montjuic;Hostafrancs;41.37855717781399;2.1424939093153568
45;Sants-Montjuic;Hostafrancs;41.37564296837328;2.1423781354913873
45;Sants-Montjuic;Hostafrancs;41.372314539520524;2.14513669649673
45;Sants-Montjuic;Hostafrancs;41.37544923050688;2.14665690900915
45;Sants-Montjuic;Hostafrancs;41.374588882462575;2.143245951589294
45;Sants-Montjuic;Hostafrancs;41.373585321099824;2.1432139768412766
45;Sants-Montjuic;Hostafrancs;41.374802889350676;2.1429320419553712
45;Sants-Montjuic;Hostafrancs;41.3743978416099;2.1422651942471833
45;Sants-Montjuic;Hostafrancs;41.375757872553166;2.145594654966282
